title,amount,deadline,location,category,link
Punjab's Pre-Matric Scholarship Program for OBC Students,500,Always Open,Punjab,SC/ST/OBC,https://scholarshipforme.com/scholarships/punjab-s-pre-matric-scholarship-program-for-obc-students
Physically Disability Scholarship,1000 lacs,Always Open,Assam,General,https://scholarshipforme.com/scholarships/physically-disability-scholarship
Post-Matric (Other Than Intermediate) Scholarship for OBC,"up to 10,000 to 20,000",Always Open,Uttar Pradesh,SC/ST/OBC,https://scholarshipforme.com/scholarships/post-matric-other-than-intermediate-scholarship-for-obc
Anant Merit Scholarship 2024,6000,Always Open,West Bengal,Physically Challenged,https://scholarshipforme.com/scholarships/anant-merit-scholarship-2024
MERIT CUM POVERTY SCHOLARSHIP,"Rs. 10,000 -Rs. 12,000",Always Open,Kerala,N/A,https://scholarshipforme.com/scholarships/merit-cum-poverty-scholarship
The Education Future International Scholarship,Upto INR 10 lakhs,Always Open,All India,N/A,https://scholarshipforme.com/scholarships/the-education-future-international-scholarship
The CGFSEL Education Loan Scheme in India,up to INR 7.5 lakh,Always Open,All India,General,https://scholarshipforme.com/scholarships/the-cgfsel-education-loan-scheme-in-india
Madhya Pradesh Khiladi Protsahan Yojana (MPKPY) 2023,Variable,Always Open,Madhya Pradesh,General,https://scholarshipforme.com/scholarships/madhya-pradesh-khiladi-protsahan-yojana-mpkpy-2023
Institute of Nano Science and Technology Research Associateship,Variable,2025-12-31,All India,For All,https://scholarshipforme.com/scholarships/institute-of-nano-science-and-technology-research-associateship
Shriram Automall Education Scholarship Programme,Up to 3500 per annum,Always Open,All India,For All,https://scholarshipforme.com/scholarships/shriram-automall-education-scholarship-programme
